Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
35,0.39593908629441626,0.4010152284263959,0.39086294416243655,21.085411,28.912818,42.021832,0.9495412844036697,0.9433962264150944,0.9043478260869565,78,79,77,0.6509433962264151,0.660377358490566,0.6792452830188679,2.870884142857142,3.578336460317462,3.2396619350649325,0.01098901098901099,0.0,0.0,69,70,72,0.6548223350253807,0.5939086294416244,0.7106598984771574,1.010712,1.13909,0.638804,0.3452914798206278,0.20574162679425836,0.0335195530726257,129,117,140
36,0.4010152284263959,0.4010152284263959,0.39593908629441626,24.648724,26.498278,39.118076,0.9366515837104072,0.9170506912442397,0.9110169491525424,79,79,78,0.6792452830188679,0.6698113207547169,0.6698113207547169,3.709260984126983,3.43322977777778,3.4219452063492035,0.0,0.0,0.0,72,71,71,0.649746192893401,0.5532994923857868,0.7157360406091371,1.233866,1.106351,0.606653,0.3427230046948357,0.22857142857142856,0.027472527472527472,128,109,141
37,0.39593908629441626,0.4010152284263959,0.39593908629441626,25.638889666666667,30.171564,35.783163,0.9267241379310345,0.9315068493150684,0.8931623931623932,78,79,78,0.6698113207547169,0.6792452830188679,0.6698113207547169,3.0973752222222206,3.390341000000002,3.0043733333333296,0.0,0.0,0.0,71,72,71,0.583756345177665,0.5482233502538071,0.7208121827411168,1.18532,1.050276,0.632014,0.3054187192118227,0.22274881516587677,0.028409090909090908,115,108,142
38,0.4010152284263959,0.4010152284263959,0.4010152284263959,24.19413,30.699809,40.430075,0.9547511312217195,0.9311926605504587,0.92,79,79,79,0.6886792452830188,0.6792452830188679,0.6886792452830188,2.8399678888888875,3.7397825396825417,3.776927968253965,0.010416666666666666,0.0,0.0,73,72,73,0.5025380710659898,0.5685279187817259,0.6852791878172588,1.175495,0.942034,0.624404,0.28169014084507044,0.23766816143497757,0.023121387283236993,99,112,135
39,0.39086294416243655,0.4010152284263959,0.39086294416243655,22.541051,29.080089,34.824311,0.9203539823008849,0.944954128440367,0.8991596638655462,77,79,77,0.6792452830188679,0.6886792452830188,0.7169811320754716,3.437418682539681,3.2920966825396842,3.203061747474744,0.0,0.010416666666666666,0.0,72,73,76,0.4873096446700508,0.6091370558375635,0.6852791878172588,0.935398,0.992117,0.700557,0.2974137931034483,0.2222222222222222,0.011299435028248588,96,120,135
40,0.4010152284263959,0.4010152284263959,0.39086294416243655,24.307322,26.583622,35.849477,0.9488372093023256,0.8831168831168831,0.9134199134199135,79,79,77,0.6886792452830188,0.6886792452830188,0.6792452830188679,3.736244317460317,3.6870141111111128,3.3144208383838354,0.011111111111111112,0.0,0.0,73,73,72,0.5076142131979695,0.6345177664974619,0.7106598984771574,0.871257,1.123789,0.626022,0.3153526970954357,0.22641509433962265,0.00546448087431694,100,125,140
41,0.4010152284263959,0.4010152284263959,0.39593908629441626,26.593867,29.137829,38.488772,0.905829596412556,0.9711538461538461,0.8978723404255319,79,79,78,0.6886792452830188,0.6886792452830188,0.6698113207547169,3.0149849999999985,4.02351931746032,3.079759190476188,0.0,0.0,0.0,73,73,71,0.5583756345177665,0.6243654822335025,0.6852791878172588,0.861291,1.045974,0.643728,0.30042918454935624,0.22274881516587677,0.011299435028248588,110,123,135
42,0.4010152284263959,0.38578680203045684,0.38578680203045684,29.888907,28.44615,39.179867,0.9495412844036697,0.9295774647887324,0.9078947368421053,79,76,76,0.6698113207547169,0.6886792452830188,0.6792452830188679,3.5004354285714276,3.703358523809526,3.128775681096679,0.0,0.0,0.0,71,73,72,0.5888324873096447,0.6395939086294417,0.6802030456852792,0.983316,1.056654,0.599964,0.29333333333333333,0.21904761904761905,0.005714285714285714,116,126,134
43,0.39086294416243655,0.39593908629441626,0.4010152284263959,30.118748,29.272002,37.849828,0.9587155963302753,0.9082969432314411,0.8760330578512396,77,78,79,0.6698113207547169,0.6886792452830188,0.6698113207547169,3.6072826825396813,3.5888146031746055,3.158553174603172,0.0,0.0,0.0,71,73,71,0.5888324873096447,0.6345177664974619,0.6598984771573604,0.985434,1.123694,0.606686,0.3574468085106383,0.22926829268292684,0.011428571428571429,116,125,130
44,0.39593908629441626,0.39593908629441626,0.4010152284263959,26.542185,29.765107,37.182372,0.9282511210762332,0.9493087557603687,0.8739495798319328,78,78,79,0.660377358490566,0.6886792452830188,0.6698113207547169,3.419475539682539,3.9564698888888907,3.6123789090909075,0.0,0.0,0.0,70,73,71,0.5736040609137056,0.6345177664974619,0.649746192893401,1.111915,1.153999,0.60099,0.3125,0.21568627450980393,0.011363636363636364,113,125,128
